dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
90.62,144.84,28.21,20.9,65.0,1.0,2.0,4.0,6.0,1.0,6.0,0,1,1,5.6445669163459885e-05,7.618814962206715e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,174438.9958,242428
67.9,107.1,27.1,15.3,48.0,2.0,3.0,3.0,6.0,1.0,,1,1,1,7.76359541419946e-05,0.00013751204949333685,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,238519.0048,251529
,,,,55.0,2.0,3.0,4.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,155749.0027,273529
83.5,145.2,7.4,24.5,65.0,1.0,3.0,4.0,6.0,1.0,6.0,1,1,1,0.0002730745790081664,8.247966876165026e-05,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,227998.9979,258126
71.2,122.6,6.8,18.0,55.0,2.0,4.0,3.0,6.0,1.0,2.0,1,1,1,0.0003032446367479668,0.00011455908499367633,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179999.005,261999
,,,,55.0,2.0,4.0,0.0,6.0,1.0,6.0,1,1,1,,,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,243858.9992,270702
63.8,111.2,8.0,,50.0,,,2.0,,1.0,6.0,1,0,0,,0.00014095306826639002,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133498.9964,269324
62.7,96.3,19.2,,43.0,,3.0,4.0,,1.0,6.0,1,1,1,,0.00016561747993130185,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129049.0053,248893
62.9,106.9,22.5,16.5,48.0,2.0,4.0,3.0,6.0,1.0,6.0,1,1,1,0.00010906190403246475,0.0001487207782260883,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,849998.9985,273996
55.9,89.3,18.2,5.5,40.0,2.0,2.0,4.0,6.0,2.0,6.0,0,1,1,6.053799521978781e-05,0.00040065145927277755,0.42857142857142855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65999.0044,237966
